Monster Name,Climate/Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,Treasure,Alignment,No. Appearing,Armor Class,Movement,Hit Dice,THAC0,No. of Attacks,Damage/Attack,Special Attacks,Special Defenses,Magic Resistance,Size,Morale,XP Value
Eltab,The Abyss,Unique,Planer Ruler,Any,Carnivore,Supragenius,G&times;5,Chaotic Evil,1,-8,"18, F1 36 (B)",37,1,1 or 2,By weapon or 4d6/4d6,"Terror, impalement, death gaze",+3 or better weapons to hit,80%,L (15' tall),Fanatic (17-18),"39,000"
Esthetic,Any space,Very rare,"Solitary (symbiont with <a href=""reigar.html"">reigar</a>)",Any,Special,None (symbiont),Nil,Neutral,1,0,Fl 50 (B),20-100 hull points,5,2,See below,"<i>Jammerscream</i>, grappling",,Nil,G,Elite (13-14),10.000 max
Ethyk,Outer Planes (Twin Paradises/Bytopia),Very rare,None (often domesticated),Omnivore,Animal (1),Nil,Any,Neutral,45295,4,12,1+3,19,3,1d2/1d2/1d3,Induce anger,Cannot be surprised,Nil,S (1' long),Average (8-10),175
Ettercap,Heavily wooded forest,Rare,Solitary or pairs,Any,Carnivore,Low (5-7),Nil,Neutral evil,45293,6,12,5,15,3,1-3/1-3/1-8,Poison,Traps (see below),Nil,M (6' tall),Elite (13),650
Eyewing,The Abyss (preferred),Rare,Band,Any,None known,Low (5-7),Nil,Lawful evil,45311,4,Fl 24 (B),3,17,3 or 1,1-6/1-6/1-4 or eyewing tears,Tears,See below,Nil,L (15' wingspan),Steady (12),650
Fachan (Toril),Swamps,Very rare,Tribal,Any,Omnivore,Low (5-7),K,Neutral evil,2-12 (4-48),5 (Head AC 2),90 (150 Sw),4+2,17,1 or 2 (bite and weapon),"1-4 bite, or by weapon type","Head butt, paralytic bite",Surprised on a 1,Nil,S (2-4' tall),Steady (12),650
Fael,Anywhere there is food,Very rare,Solitary,Any,Omnivore,Very (11-12),R,Chaotic evil,1,"As in life, or 6",9,"As in life, minimum 6+3","As in life, or 15","As in life, or 3",1d3/1d3/2d6,See below,+1 or better weapon to hit,Nil,M (6' tall),Champion (15-16),975 + 200 per HD over 7
"Faerie, Faerie Fiddler",Any inhabited by other faeries,Uncommon,Solitary,Night,Nil,Average (10),Nil,Neutral good,1,0,12,1,19,0,Nil,Fiddling,Immunz to enchantment/charm magic,25%,T (2' tall),Elite (13),270
"Faerie, Petty, Bramble","Subarctic to temperate grasslands, hills, and plains",Rare,Nomadic band,Day,Omnivore,Very (11-12),"O,Q",Neutral evil,45338,2 (8 without armor),3,2 hp,20,1,1d6,Poison,Minor spell use,5%,T (3' tall),Steady (12),65 (175 with poison)
"Faerie, Petty, Gorse","Subarctic to temperate grasslands, hills, and prairies",Uncommon,Tribe,Day,Herbivore,Very (11-12),"Nil (O,P,Q,S)",Neutral,14732,6 (2 if flying),"3, Fl 12 (A)",1 hp,20,1 at +2,1 point (weapon),Poison,"Cantrips, lair trap",5%,T (3&rdquo; tall),Average (8),270
Fenette,Streams and rivers,Rare,,Any,Male life force,14,,Chaotic Evil,45295,10,10,1,20,1,1d3+7 punch,Shapechange,"+1 or better to hit, immunity to <i>charm spirit</i>",Nil,M,Champion (15-16),175
Fetch,Any,Very rare,Solitary,Any,Special,High (13-14),Nil,Chaotic evil,1,4,6,9,11,2,Special,Drains 2 levels per hit,Invisible except to victim,Nil,M (4-7' tall),Very steady (14),"3,000"
Fetish Spirits,Any structure or area where crimes are punished and sentences handed down,Common,,Any,Sacrifices,9,,Lawful Evil,1,5,10,3,18,1,1d6,Nil,+1 or better to hit,Nil,S,Champion (15-16),50
Feyr,Urban,Very rare,Loose band,Night,Emotions,Low (5),Nil,Chaotic evil,45295,2,12,4,17,1,4-Jan,Fear,Nil,10%,S (2' tall),Fanatic (18),975
Feystag,"Temperate, arctic/forest, hill",Very rare,Solitary (or mated pair),Any,Omnivore,High (13-14),"V&times;2,X",Chaotic neutral,1d2,7,14,2+4,19,2 or 1 plus special,1d4 (&times;2) or by weapon -1,Control magical items,Nil,70%,M (4' tall at shoulder),Steady (11-12),975
Fire Minion,"Volcanic, lava",Very rare,Hierarchial,Any,Special,Average to genius (11-18),,Lawful evil,45295,3,12,6,15,1,2d6,Fire,Immunity to fire,Nil,L (7-9'),Champion (15),975
Firenewt,Hot or volcanic regions,Rare,Tribal,Any,Carnivore,Low (5-7),"K,M (F)",Neutral evil,10-100,5,9,2+2,19,1,By weapon,Breathe fire,See below,Nil,M (5½-6' tall),Steady (11-12),175<br>Elite: 270<br>Priest: 650<br>Overlord: 420
Fireshadow,Any,Very rare,Solitary,Any,Special,Genius (17.18),Nil,Chaotic evil,1,0,6,13+3,7,3 or 1,1-6/1-6/3-18 or 2-40,See below,Hit only by magical weapons,50%,G (30' tall),Champion (16),"11,000"
Firestar,"Temperate forests, hills",Uncommon,Pack,Night,Thermosynthesis,High (13-14),Nil,Neutral,45303,2,Fl 15 (A),2+2,19,See below,See below,Electricity,Immune to magic; heat and electrical absorption; invisibility,Nil,T (3-6&rdquo; diameter),Steady (11-12),"2,000"
Firethorn,"Grasslands, saltwater swamps",Rare,Clusters,Any,Nutrients,Non- (0),Nil,Neutral,20-200,8,0,6,15,1d10,1d2 + special,"Poison, fire","<i>Confusion</i>, immune to fire",Nil,M (4' radius),Average (8-10),"1,400"
Fish,,,,,,,,,,,,,,,,,,,,,
"Fish, Vurgens",Ocean depths,Very rare,Solitary,Any,Carnivore,Animal (1),Nil,Neutral,1,4,Sw 15,7+7 to 9+9,"7+7 HD: 13<br>8+8,9+9 HD: 11",1 bite or tail slap,2d6 or 3d4,"Swallow whole, paralyze, acid",Nil,Nil,H (20-40' long),Average (8-10),"4,000-6,000"
Flame Skull,Any land,Rare,Solitary or small groups,Any,Nil,As in life (usually 8-16),Any,Lawful evil,"1 (or, very rarely, 1d6)",3,Fl 21 (A),4+4,15,2 plus special,2d4 (&times;2),Spells,"Regeneration, spell immunity",88%,S (about 1' diameter),Elite (13-14),"2,000"
Flareater,Subterranean,Very rare,Solitary,Any,Omnivorous,Average (8-10),Nil,Neutral,45295,0,15,6 to 12 (see below),6 HD: 15<br>7 HD: 13<br>9 HD: 11<br>11 HD: 9,1,3d4,"Surprise, dissolve, HD growth",Immune to heat and flame,Special,M (6' wide),Elite (13-14),"1,400-2,400"
Focoid,"Deep space, near bright stars",Very rare,Solitary,Constant,Carnivore,Average (8-10),Q,Neutral,1,0,24,6+3,13,3,1-12/1-12/1-12,,Partial invisibility,Nil,L (9' long),Steady (11-12),"1,400"
Fogwarden,"Arctic, subarctic, cold temperate",Very rare,Solitary,Any,Emotion,Very (11-12),Nil,Neutral evil,1,0,15,4,Special,Special,3d6 lightning,"Fear aura, lighting bolt (3d6)","+1 or better magical wooden weapon to hit;<br>immune to lightning, cold, poison, and gases; animate dead",Nil,M (6' tall),Champion (15-16),"4,000"
Foulwing,Any land,Rare,Flock,Any,Carnivore,Low (5-7),Nil,Neutral evil,45295,3,"6, Fl 13 (D)",6,15,5,2-5/2-5/2-5/1-4/1-4,"Ammonia breath, blood drain",Nil,Nil,"H (16-20' long, 40' wingspan)",Elite (14),975
Fraal,Any,Very rare,Company,Any,Herbivore,High to genius (13-18),Special,Lawful neutral,7-12 (10%: 2-8),8 (or 2),12,2,19,1,By weapon,"Psionic use, devices","Psionic use, devices",Nil,M (5' tall),Elite (14),Varies
Fractine,Any space,Very rare,Solitary,Always,Light and magic,Unknown,Nil,Neutral,1,-1,Fl 1 to 24 (A),13-Jun,6 HD: 15<br>7-8 HD: 13<br>9-10 HD: 11<br>11-12 HD: 9<br>13 HD: 7,Area of effect (1 sq. ft. per HD),8-Feb,See below,See below,25%,H (1 sq. ft. per HD),Fearless (20),"6 HD: 2,000 (+1,000 per additional HD)"
Froghemoth,Swamp,Very rare,Solitary,Any,Carnivore,Animal (1),Incidental,Neutral,1,"4 (tentacles 2, tongue 6)","4 (in swamp), Sw 8",16,5,1 or 4,5d10 (bite) or 4&times; 1d4+4 (tentacle),"Swallow, constriction","Immune to fire, 1 hp/die from electricity (<i>slows</i> 1 rnd.), half damage from blunt weapons",Nil,H (18' tall),Fearless (19),"21,000"
Frost,Subarctic and cold/winter temperate forests,Rare,Tribal,Any,Omnivore,High,Q&times;2 each,Neutral good,1d6,9 (5 if flying),"6, Fl 24",½ (1d4 hp),20,1,1-2 (dagger),Spells,"Invisible at will, immune to cold",30%,T (1' tall),,650
Funno,Subterranean,Common,Herd,Day,Herbivore,Low (5-7),Nil,Neutral,10-100,7,6,1,20,1,3-Jan,Nil,Nil,Nil,S (3' long),Unreliable (2),15
Galeb Duhr,Any mountain,Very rare,Family,Day,Special,Very (11-12),"Q (&times;3),X",Neutral,45295,-2,6,10-Aug,8 HD: 13<br>9-10 HD: 11,2,"2-16, 3-18, or 4-24",See below,See below,20%,L (8-12' tall),Fanatic (17),"8 HD: 8,000<br>9 HD: 9,000<br>10 HD: 10,000"
Gambado,Temperate and subtropical/plains and subterranean,Rare,Solitary or family,Day,Carnivore,Low (5-7),R,Chaotic neutral,1d8,6,See below,4,17,3,1d8/1d4 (&times;2),Nil,Nil,Nil,M (6' tall),Steady (11-12),175
"Gaumahavi, Greater Purple Dragon","Subarctic desert, high mountains",Very Rare (unique),Solitary,"Any, but most active at twilight",Special (Carnivore),Exceptional (15-16),Nil,Neutral,1,-2,"15, Fl 40",16 (128 hit points),5,3 or dust storm and/or spell,1-8/1-8/5-30,Special,Only hit by +3 or better magical weapons in astral (dust) form.,35%,G (125' long),Fanatic (19),"18,000"
Gaund,"Subterranean, hot caverns",Rare,Group,Any,Omnivorous,Average (8-10),Q&times;4,Neutral,45311,6,15,4+4,17,4 + special,1-4/1-4/1-6/1-8,See below,See below,Nil,M (6' tall),Elite (13-14),650
"Genie, Tasked, Administrator",Dependent upon task,Very rare,Solitary of family,Any,Omnivore,Genius (17-18),"E,G",Any lawful,1 or 1d4+1,6,"9, Sw 15 or Fl 15(A)",6,15,1,2d8,See below,See below,Nil,M (7' tall),Average (8-10),"2,000"
"Genie, Tasked, Deceiver",Dependant upon task,Very rare,Solitary,Day,Omnivore,High (13-14),"F,U",Neutral evil,45293,0 (4),"12, Fl 18(A)",9,11,1,2d10,"Spells, blinding",Displacement,35%,M (7' tall),Unsteady (5-7),"10,000"
"Genie, Tasked, Harim Servant",Dependent upon task,Very rare,Solitary,Any,Omnivore,High (13-14),W,Lawful neutral,1,4,12,7,13,2,1d10 (&times;2) or by weapon,See below,See below,10%,L (8' tall),Champion (15-16),"1,400"
"Genie, Tasked, Messenger",Dependent upon task,Rare,Solitary,Day,Omnivore,High (13-14),U,Neutral,45293,5,"15, Fl 42 (A)",3,17,1,1d8 or by weapon,Spells,See below,Nil,S (4' tall),Unsteady (5-7),420
"Genie, Tasked, Miner",Dependent upon task,Rare,Solitary,Day,Petrivore,High,Q (&times;10),Neutral,1d6,0,15,6,15,2,3d6 (&times;2),Spells,See below,Nil,L (8' tall),Elite (13-14),"1,400"
"Genie, Tasked, Oathbinder",Dependent upon task,Very rare,Order,Day,Omnivore,Average (8-10),"C,H,T",Lawful neutral,1,-1,"15, Fl 37 (B)",12,9,1,4d6 + special,Spells,Immune to victims' attacks,45%,L (9' tall),Champion (15-16),"12,000"
Ghost,Any,Very rare,Solitary,Night,,High (13-14),"E,S",Lawful evil,1,0 or 8 (see below),9,10,11,1,Age 10-40 years,See below,See below,Nil,M (5-6' tall),Special,"7,000"
Ghost Packs,Settled Areas,Uncommon,,Any,Sacrifices,2,,Neutral,1 (1-20 pack members),5,10,1 per member,As per animal type,1,As per animal type,As per animal type,"+1 or better to hit, see below",Nil,As per animal type,Champion (15-16),As per animal type +2HD
"Ghost, Casurua",Ruins,Very rare,Doomed group,Any,,Non- (0),A (25% chance),Any,1,0,0,22,5,4,3d6,"<a href=""poltgeis.html"">Poltergeist</a> powers",Invisibility,75%,L to G (varies),Fearless (20),"15,000"
"Ghost, Ker",Any,Very rare,Solitary or trio,Night,Carnivore,High (13-14),Nil,Any evil,1 or 3,1,12 (Fl 18 in gnat form),9+9,11,3,1d8,"Bad luck, aging, disease",+1 or better weapon to hit,Nil,M (5-6'),Fearless (20),"7,000"
"Giant, Cloud",Any mountains or magical cloud islands,Very rare,Tribal,Any,Special,Average to very (8-12),"E,Q (&times;5)","Neutral (good 50%, evil 50%)",45301,0,15,16 + 2-7 hit points,5,1,"1-10, or by weapon (6-24+11)",Hurling rocks for 2-24,Surprised only on a 1,Nil,H (24' tall),Fanatic (17-18),"10,000<br>Infant: Nil<br>Juvenile, -3: 975<br>Juvenile, -2: 3,000<br>Juvenile, -1: 5,000<br>Spell caster, 1st: 11,000<br>Spell caster, 2nd: 11,000<br>Spell caster, 3rd 11,000<br>Spell caster, 4th: 13,000"
"Giant, Crag",The Lonely Butte,Uncommon,Clan,Day,Omnivore,Low (5-7),K (H),Chaotic good,5-10 (1d6+4),5,15,16,6,1,2d6+8,Hurl rocks,Nil,Nil,H (25' tall),Elite (13),"7,000"
"Giant, Desert",Desert,Very rare,Tribal,Day,Omnivore,Average (8-10),B,Neutral,45342,1,15,13,7,1,1-10 or by weapon (2-12 +7),Hurling spears,Camouflage,Nil,H (17' tall),Elite (14),"5,000"
"Giant, Ettin",Subarctic to temperate/Hills and mountains,Very rare,Solitary,Night,Carnivore,Low (5-7),"O (C,Y)",Chaotic evil,1 or 1-4,3,12,10,11,2,1-10/2-12 + weapon,Nil,Surprised only on a 1,Nil,H (13' tall),Elite (14),"3,000"
"Giant, Firbolg",Temperate/Hills and forests,Very rare,Clan,Any,Omnivore,Average to genius (8-18),"E,Y (M&times;10,Q)",Neutral (chaotic good),1-4 or 4-16,2,15,13+7,9,1,1-10 (weapon) +7 (Str bonus),Spells,Swat away missiles,15%,L (10½' tall),Champion (16),"8,000<br>Shaman: 9,000"
"Giant, Fire","Any temperate, subtropical, tropical",Rare,Tribal,Any,Omnivorous,Low to average (5-10),E,Lawful evil,45299,-1 (5),12 (15),15 +2-5 hit points,5,1,"1-8, or by weapon (2-20+10)",Hurling rocks for 2-20 (2d10),Resistant to fire,Nil,H (18'),Champion (15-16),"8,000<br>Infant: Nil<br>Juvenile, -3: 120<br>Juvenile, -2: 3,400<br>Juvenile, -1: 5,000<br>Shaman/Witch doctor, 1st level spells: 9,000<br>Shaman/Witch doctor, 2nd level spells: 10,000<br>Shaman/Witch doctor, 3rd level spells: 10,000<br>Shaman/Witch doctor, 4th level spells: 12,000"
"Giant, Fog","Temperate/Swamps, marshes, boggy forests, and coastal regions",Very rare,"Clan, Hunting Group",Day,Omnivore,Average to highly (8-14),"E,R","Neutral (good 50%, evil 50%)",1-4 (rarely 1-6),1,15,14,7,1,"1-10, or by weapon (3-18+11)",Rock hurling,See below,Nil,H (24' tall),Elite (14),"5,000"
"Giant, Fomorian",Any mountain and subterranean,Uncommon,Solitary,Any,Omnivore,Average (8-10),"D,Q&times;10",Neutral evil,45295,3,9,13+3,9,1,"2&times; weapon, +8 (Str bonus)",Surprise,Only surprised on a 1,Nil,H (13½' tall),Elite (14),"6,000"
"Giant, Frost",Arctic lands,Very rare,Tribal,Any,Omnivorous,Low to average (5-10),E,Chaotic evil,45299,0 (5),12 (15),14 + 1-4 hit points,7 or 5,1,"1-8, or by weapon (2-16 +9)",Hurling rocks for 2-20 (2d10),Impervious to cold,Nil,H (21'),Very Steady (13-14),"7,000<br>Infant: Nil<br>Juvenile, -3: 270<br>Juvenile, -2: 975<br>Juvenile, -1: 4,000<br>Shaman/Witch doctor, 1st: 8,000<br>Shaman/Witch doctor, 2nd: 8,000<br>Shaman/Witch doctor, 3rd: 8,000<br>Shaman/Witch doctor, 4th+: 10,000"
"Giant, Half-giant",Any land,Rare,Solitary or community,Any,Omnivore,Average to High (8-14),Varies,Varies; see below,2-5 (1d4+1) or 4-40 (4d10),7 (10),15,3+12,17,1,1d6 or by weapon +4,Nil,Nil,Nil,H (10-12' tall),Very steady (13-14),"175<br>Leader: 420<br>Chieftain: 975<br>Psionicist: 2,000"
"Giant, Hill",Any hills and mountains,Rare,Tribal,Any,Omnivore,Low (5-7),D,Chaotic evil,45303,3 (5),12,12+1-2 hit points,9,1,1-6 or by weapon (2-12+7),Hurling rocks for 2-16 (2d8),Nil,Nil,H (16' tall),Elite (13-14),"3,000<br>Infant: Nil<br>Juvenile, -3: 270<br>Juvenile, -2: 650<br>Juvenile, -1: 2,000"
"Giant, Jungle",Tropical/jungle,Uncommon,Tribal/cooperative,Day,Carnivore,Average to High (8-14),Q (A),Neutral,1 or 1-6,3,"15, Cl 6",11,9,1 or 2,2-16 +9 or 2-12 +9/2-12 +9,"Surprise, arrows",See below,Nil,H (18' tall),Champion (16),"6,000"
"Giant, Mountain",Any/Mountains,Very rare,Family,Any,Omnivore,Average (8-10),E,Chaotic neutral,45295,4,12,15+3,5,1,1-8 or by weapon (4d10+10),Hurling rocks for 2-20,Nil,Nil,H (14' tall),Champion (15-16),"7,000<br>Infant: Nil<br>Juvenile: 3,000<br>Shaman: 8,000<br>Shaman, 3rd: 9,000"
"Giant, Reef",Tropical or subtropical ocean/reef,Very rare,Solitary,Day,Omnivore,Very (11-12),Z (A),Neutral good,1 or 1-4,0 or -4,"15, Sw 12",18,5,1,1-10 or by weapon (typically 2-20 + 10),"Boulders, whirlpool",Immune to water-based attacks,Nil,H (16' tall),Fanatic (17),"12,000"
"Giant, Spacesea",Wildspace,Rare,Tribal/ship,Any,Omnivore,High (13-14),W (F),Neutral good,45616,0,12,14 + 1d4,7,1,1-10 or by weapon (10-20),"Hurling rocks for 3-30, or 1-3 hull points",See below,Nil,H (18' tall),Champion (16),"8,000"
"Giant, Stone",Sub-tropical and temperate mountains,Rare,Tribal,Any,Omnivore,Average (8-10),D,Neutral,45301,0,12,14 + 1-3 hit points,7,1,1-8 or by weapon (2-12+8),Hurling rocks for 3-30 (3d10),See below,Nil,H (18' tall),Champion (16),"7,000<br>Infant: Nil<br>Juvenile, -3: 975<br>Juvenile, -2: 3,000<br>Juvenile, -1: 6,000<br>Elder: 9,000<br>Spell caster: 9,000"
"Giant, Storm",Special (see below),Very rare,Solitary or Tribal,Any,Omnivorous,Exceptional (15-16),"E,Q&times;10,S",Chaotic good,1 (2-4),-6 (0),"15, Sw 15",19 + 2-7 hit points,3,1,1-10 or by weapon (3-30+12),See below,Impervious to electricity,Nil,G (26' tall),Fanatic (17-18),"14,000<br>Infant: Nil<br>Juvenile, -3: 1,400<br>Juvenile, -2: 4,000<br>Juvenile, -1: 7,000<br>Spell caster, 1st: 15,000<br>Spell caster, 2nd: 15,000<br>Spell caster, 3rd: 15,000<br>Spell caster, 4th+: 17,000"
"Giant, Verbeeg",Temperate and arctic/Hills,Uncommon,Tribe,Any,Omnivore,Average to very (8-12),"B (K,L,M&times;5)",Neutral (evil),1-6 or 5-30,4 or better,18,5+5,15,2,1-6 (weapon) +3 to +6 (Str bonus),Nil,Nil,Nil,L (8½-10' tall),Elite (13),270
"Giant, Wood","Temperate, subtropical/Forests",Very rare,Clan,Day,Herbivore,High to exceptional (13-16),E,Chaotic good,45295,8 (5 in armor),12,7+7,13,1,1-10 (weapon) +3 to +6 (Strength bonus),-4 penalty to opponents' surprise rolls,Resistant to some spells,Nil,L (9½' tall),Steady (11-12),"1,400"
Gibbering Mouther,"Swamps, underground",Very rare,Solitary,Day,Omnivore,Semi (2-4),Q,Neutral,1,1,"3, Sw 6",4+3,17,6+,1 (&times;6) + special,"<i>Gibbering</i>, spit, bite",Ground control,Nil,M (4-7' tall),Elite (13-14),"4 HD: 975<br>8 HD: 2,000"
Gibberling,"Temperate/Forest, subterranean",Uncommon,Herd,Night (but see below),Carnivore,Low (5-7),Nil,Chaotic neutral,40-400,10,9,1,19,1,1-8 (weapon),Mass assault,Nil,Nil,S-M (4-5' tall),Unsteady (5),35
"Gibberling, Brood",Special,Very rare,Clan,Night,Carnivore,Very (11-12),Nil (E),Chaotic neutral,45295,8,12,6,16,1 + special,1d4+4 (bite),Gibberslug,Nil,Nil,M (3' tall),Elite (13),950
Giff,Any,Rare,Platoon,Day,Omnivore,Low (7),Nil,Lawful neutral,45616,6 (2),6,4,17,2 or 1,1-6 +7 or by weapon +7,Head butt,Can call on other giff,10%,L (9' tall),Elite (14),420
Gith,Arid tablelands and mountains,Uncommon,Tribal,Day or night,Carnivore,Average (10),M (I),Chaotic evil,10-100,8,10,3,17,1 or 2,By weapon or 1d4/1d4,Springing,Nil,Nil,M,Steady (12),175
"Gith, Pirate of",Wildspace,Rare,Ship/Military,Any,Carnivore,Exceptional (15-16),A (N),Lawful evil,20-40/As ship crew,0,12,11-Jul,Special,Varies,By weapon,See below,See below,Nil,M (6-7' tall),Champion (16),Special
Githyanki,Astral or prime,Very rare,Dictatorship/monarchy,Any,Omnivore,Exceptional to genius (15-18),Individuals R; Lair H,Any evil,2-8 (away from lair),Per armor,"12, 96 on Astral plane",Per class and level,Per class and level,Per class and level,Per weapon type,"Possible spell use, possible magical weapon",Nil,Nil,M (6' tall),Average to elite (8-14),Per class and level
Githzerai,Limbo,Very rare,Monarchy/dictatorship,Any,Omnivore,Exceptional to genius (15-18),Individual P; Lair H&times;2,Chaotic neutral,2-8 (away from lair),Varies,"12, 96 in Limbo",Per class and level,Per class and level,Per class and level,Per weapon type,Nil,Nil,50%,M (6' tall),Average to steady (8-12),Per class and level
Gk'lok-Lok,Ethereal plane,Very rare,Tribe,See below,See below,Average (8-10),Nil,Lawful neutral,"1 (active) and 1,000-6,000 (hibernating tribe)",-1,9,1 + 1,19,2,1-2/1-2 (arm needles) or 1-4/1-4 (arm slash),Nil,See below,20%,S (4' tall),Elite (13),420
"Glutton, Sea",Deep saltwater,Very rare,Solitary,Any,Carnivore,Low (5-7),Nil,Neutral (evil),1d2,6,"10, Sw 18",9+2,11,2 (bite/tail),2d6/2d10,"Constriction, swallow whole",Nil,Nil,G (50'+ long),Elite (13-14),"3,000"
Gnasher,Temperate/forest or rough,Uncommon,Pack,Day,Carnivore,Semi- (2-4),Nil,Chaotic evil,45342,6,15,3,17,1,6-Jan,Nil,Nil,Nil,M (5-7' long),Elite (13),120<br>Leader: 175
"Gnasher, Winged",Forest/rough hills,Rare,Pack,Day,Carnivore,Low (5-7),Nil,Chaotic evil,45334,5,"12, Fl 6 (E)",4,17,1,8-Jan,Surprise,Nil,Nil,L (8-10' long),Elite (14),270<br> Leader 650
"Gnome, Spriggan",Any/Wilderness,Very rare,Pack,Any,Omnivore,Average to exceptional (8-16),A,Chaotic evil,45363,3 or 5 (10),9 or 15,4 or 8+4,17 or 11,2,2-8/2-8 (weapon) +7 (Strength bonus),"Spells, thief abilities",See below,Nil,S (3' tall) or L (12' tall),Champion (15-16),"Male: 3,000<br>Female: 2,000"
"Gnome, Tinker","Tropical, subtropical, and temperate/Subterranean",Rare,Colony,Any,Omnivore,Varies (8-18),"M&times;3 (C,Q&times;20)",Neutral or lawful good,40-400,5 (10),6,1,19,1,1-6 (weapon),See below,See below,See below,S (3' tall),Average (8),Varies
